Concurso;Data do Sorteio;Coluna1;Coluna2;Coluna3;Coluna4;Coluna5;Coluna6;Chave ;chave_letra
125;25/07/1998;25;41;47;53;56;59;001023;a001023
126;01/08/1998;6;10;11;28;32;40;211200;a211200
127;08/08/1998;21;29;50;51;54;59;002013;a002013
128;15/08/1998;3;9;18;21;23;43;212010;a212010
129;22/08/1998;1;9;10;32;46;54;300111;a300111
130;29/08/1998;13;29;38;42;49;53;011121;a011121
131;05/09/1998;4;9;17;27;30;44;212010;a212010
132;12/09/1998;7;9;35;41;44;50;200130;a200130
133;19/09/1998;5;6;19;34;39;57;210201;a210201
134;26/09/1998;4;25;32;36;52;60;101202;a101202
135;03/10/1998;21;22;35;40;53;59;002202;a002202
136;10/10/1998;1;17;25;38;45;59;111111;a111111
137;17/10/1998;15;16;19;22;26;49;032010;a032010
138;24/10/1998;5;14;27;37;40;41;111210;a111210
139;31/10/1998;3;13;26;27;41;42;112020;a112020
140;07/11/1998;7;31;41;44;46;55;100131;a100131
141;14/11/1998;10;13;22;41;42;58;111021;a111021
142;21/11/1998;8;15;19;20;54;59;130002;a130002
143;28/11/1998;6;18;20;40;50;53;120111;a120111
144;05/12/1998;8;32;36;44;45;55;100221;a100221
145;12/12/1998;15;16;31;41;43;51;020121;a020121
146;19/12/1998;25;32;34;42;51;60;001212;a001212
147;24/12/1998;6;16;23;24;28;38;113100;a113100
148;31/12/1998;32;35;41;55;58;59;000213;a000213
149;09/01/1999;7;11;20;28;45;48;121020;a121020
150;16/01/1999;12;44;50;52;54;55;010023;a010023
151;23/01/1999;3;16;20;43;52;56;120012;a120012
152;30/01/1999;5;12;15;29;51;58;121002;a121002
153;06/02/1999;2;30;31;42;45;47;101130;a101130
154;13/02/1999;8;10;24;33;45;48;201120;a201120
155;20/02/1999;12;30;32;35;43;44;011220;a011220
156;27/02/1999;17;23;42;49;52;55;011022;a011022
157;06/03/1999;4;13;17;21;41;44;121020;a121020
158;13/03/1999;4;14;17;43;51;58;120012;a120012
159;20/03/1999;9;11;16;35;50;58;120111;a120111
160;27/03/1999;2;13;42;52;54;58;110013;a110013
161;03/04/1999;6;25;30;37;39;41;102210;a102210
162;10/04/1999;21;23;33;38;48;51;002211;a002211
163;17/04/1999;8;27;36;41;53;56;101112;a101112
164;24/04/1999;4;10;14;19;28;44;221010;a221010
165;01/05/1999;10;19;23;35;39;56;111201;a111201
166;08/05/1999;12;13;22;57;59;60;021003;a021003
167;15/05/1999;1;11;28;33;38;48;111210;a111210
168;22/05/1999;2;9;31;35;45;50;200220;a200220
169;29/05/1999;1;13;21;37;51;52;111102;a111102
170;05/06/1999;7;41;46;51;55;58;100023;a100023
171;12/06/1999;4;27;40;43;46;54;101121;a101121
172;19/06/1999;10;14;26;35;36;49;111210;a111210
173;26/06/1999;17;28;29;42;49;50;012030;a012030
174;03/07/1999;11;22;23;36;52;59;012102;a012102
175;10/07/1999;1;10;13;20;42;50;220020;a220020
176;17/07/1999;1;3;4;28;45;53;301011;a301011
177;24/07/1999;22;35;38;39;41;59;001311;a001311
178;31/07/1999;5;15;19;26;27;33;122100;a122100
179;07/08/1999;5;6;23;26;27;53;203001;a203001
180;14/08/1999;6;23;29;39;51;60;102102;a102102
181;21/08/1999;1;27;33;35;51;55;101202;a101202
182;28/08/1999;3;5;10;28;46;60;301011;a301011
183;04/09/1999;2;7;11;16;40;44;220110;a220110
184;11/09/1999;9;16;21;34;41;60;111111;a111111
185;18/09/1999;17;22;43;46;55;59;011022;a011022
186;25/09/1999;14;23;24;25;26;51;014001;a014001
187;02/10/1999;6;36;41;44;48;58;100131;a100131
188;10/10/1999;17;27;34;42;43;46;011130;a011130
189;16/10/1999;4;15;31;38;41;53;110211;a110211
190;24/10/1999;5;10;21;32;40;42;201210;a201210
191;31/10/1999;1;3;5;23;41;58;301011;a301011
192;06/11/1999;1;26;28;41;54;60;102012;a102012
193;13/11/1999;4;11;12;19;43;49;130020;a130020
194;20/11/1999;25;28;32;33;42;43;002220;a002220
195;27/11/1999;3;9;17;32;37;44;210210;a210210
196;04/12/1999;7;9;14;17;24;32;221100;a221100
197;11/12/1999;5;12;15;19;29;52;131001;a131001
198;18/12/1999;1;8;18;23;35;40;211200;a211200
199;24/12/1999;10;16;37;50;52;57;110112;a110112
200;31/12/1999;12;15;19;34;44;51;030111;a030111
201;08/01/2000;5;20;22;30;35;55;112101;a112101
202;15/01/2000;12;24;44;45;49;53;011031;a011031
203;22/01/2000;11;19;29;44;47;55;021021;a021021
204;29/01/2000;29;31;39;41;51;58;001212;a001212
205;05/02/2000;26;32;40;43;46;54;001221;a001221
206;12/02/2000;18;20;26;34;51;56;021102;a021102
207;19/02/2000;3;7;19;24;53;55;211002;a211002
208;26/02/2000;15;23;24;25;47;57;013011;a013011
209;04/03/2000;13;21;26;32;41;52;012111;a012111
210;11/03/2000;20;32;37;38;48;58;010311;a010311
211;18/03/2000;10;20;33;40;45;50;110220;a110220
212;25/03/2000;6;15;29;45;57;59;111012;a111012
213;01/04/2000;3;9;23;30;32;35;202200;a202200
214;08/04/2000;6;12;30;31;35;50;111210;a111210
215;15/04/2000;7;28;37;46;53;58;101112;a101112
216;22/04/2000;14;18;30;35;42;59;021111;a021111
217;29/04/2000;3;27;32;45;49;51;101121;a101121
218;06/05/2000;12;17;40;42;47;54;020121;a020121
219;13/05/2000;23;26;28;36;42;49;003120;a003120
220;20/05/2000;13;14;36;53;55;60;020103;a020103
221;27/05/2000;13;27;43;50;54;58;011022;a011022
222;03/06/2000;5;19;30;48;52;55;111012;a111012
223;10/06/2000;2;6;22;24;28;58;203001;a203001
224;17/06/2000;7;16;18;20;21;44;131010;a131010
225;24/06/2000;2;4;16;21;37;58;211101;a211101
226;01/07/2000;1;2;38;49;50;59;200121;a200121
227;08/07/2000;11;26;27;37;42;48;012120;a012120
228;15/07/2000;13;16;40;43;45;59;020121;a020121
229;22/07/2000;11;13;21;33;39;45;021210;a021210
230;29/07/2000;8;40;41;44;53;56;100122;a100122
231;05/08/2000;16;27;36;42;44;59;011121;a011121
232;12/08/2000;19;22;29;37;41;59;012111;a012111
233;19/08/2000;3;7;24;32;36;45;201210;a201210
234;26/08/2000;15;25;41;42;45;54;011031;a011031
235;02/09/2000;2;22;29;31;41;55;102111;a102111
236;09/09/2000;10;25;50;52;57;60;101013;a101013
237;16/09/2000;7;31;36;45;56;57;100212;a100212
238;23/09/2000;9;13;15;37;41;42;120120;a120120
239;30/09/2000;6;21;33;44;46;47;101130;a101130
240;07/10/2000;25;28;38;41;57;59;002112;a002112
241;14/10/2000;11;31;35;40;56;57;010302;a010302
242;21/10/2000;4;7;21;22;28;56;203001;a203001
243;28/10/2000;11;16;20;23;32;47;031110;a031110
244;04/11/2000;19;24;33;47;50;60;011121;a011121
245;11/11/2000;8;27;44;51;53;60;101013;a101013
246;18/11/2000;2;16;32;37;43;57;110211;a110211
247;25/11/2000;3;10;23;30;34;46;202110;a202110
248;02/12/2000;16;32;34;35;41;56;010311;a010311
249;09/12/2000;21;36;40;49;54;55;001212;a001212
250;16/12/2000;7;25;41;42;43;55;101031;a101031
251;23/12/2000;15;23;30;34;49;55;012111;a012111
252;30/12/2000;4;17;26;32;51;54;111102;a111102
253;06/01/2001;11;12;24;37;44;56;021111;a021111
254;13/01/2001;1;4;21;22;30;56;203001;a203001
255;20/01/2001;16;19;20;32;44;55;030111;a030111
256;27/01/2001;2;21;26;32;34;52;102201;a102201
257;03/02/2001;1;4;5;19;28;34;311100;a311100
258;10/02/2001;7;12;50;54;55;60;110013;a110013
259;17/02/2001;13;15;20;33;43;58;030111;a030111
260;24/02/2001;4;6;33;43;59;60;200112;a200112
261;03/03/2001;5;16;20;30;54;56;121002;a121002
262;10/03/2001;11;20;48;53;58;60;020013;a020013
263;17/03/2001;8;9;26;43;50;53;201021;a201021
264;24/03/2001;1;5;13;25;31;33;211200;a211200
265;31/03/2001;7;16;34;41;50;53;110121;a110121
266;07/04/2001;2;23;38;46;48;54;101121;a101121
267;14/04/2001;1;8;45;46;55;58;200022;a200022
268;21/04/2001;5;6;10;21;33;47;301110;a301110
269;28/04/2001;17;18;19;25;49;52;031011;a031011
270;05/05/2001;5;9;27;35;40;45;201210;a201210
271;12/05/2001;14;24;26;29;31;54;013101;a013101
272;19/05/2001;9;10;24;36;56;58;201102;a201102
273;26/05/2001;10;17;23;27;47;52;112011;a112011
274;02/06/2001;11;13;18;26;39;47;031110;a031110
275;09/06/2001;16;19;30;37;38;48;021210;a021210
276;16/06/2001;22;39;45;53;57;59;001113;a001113
277;23/06/2001;4;26;38;40;52;56;101202;a101202
278;30/06/2001;10;15;18;22;31;55;121101;a121101
279;07/07/2001;4;23;31;47;58;59;101112;a101112
280;14/07/2001;5;16;20;25;30;58;122001;a122001
281;21/07/2001;5;11;31;38;47;53;110211;a110211
282;28/07/2001;9;14;23;24;33;36;112200;a112200
283;01/08/2001;25;28;34;42;48;54;002121;a002121
284;04/08/2001;7;8;14;30;32;36;211200;a211200
285;08/08/2001;12;32;37;41;50;56;010221;a010221
286;11/08/2001;29;35;37;44;47;56;001221;a001221
287;15/08/2001;3;13;25;33;47;60;111111;a111111
288;18/08/2001;6;9;11;17;18;50;230010;a230010
289;22/08/2001;6;7;20;25;30;36;212100;a212100
290;25/08/2001;7;25;26;30;40;57;103101;a103101
291;29/08/2001;5;16;17;18;22;41;131010;a131010
292;01/09/2001;13;23;24;34;45;53;012111;a012111
293;05/09/2001;5;6;7;12;28;35;311100;a311100
294;08/09/2001;22;25;28;41;45;57;003021;a003021
295;12/09/2001;7;12;24;31;44;50;111120;a111120
296;15/09/2001;3;20;42;46;51;52;110022;a110022
297;19/09/2001;1;20;28;33;36;41;111210;a111210
298;22/09/2001;5;22;23;24;34;60;103101;a103101
299;26/09/2001;2;5;7;33;49;53;300111;a300111
300;29/09/2001;24;27;28;38;41;57;003111;a003111
301;03/10/2001;9;26;48;49;57;58;101022;a101022
302;06/10/2001;12;25;30;40;41;60;012111;a012111
303;10/10/2001;7;13;17;30;37;47;121110;a121110
304;13/10/2001;7;11;34;41;42;59;110121;a110121
305;17/10/2001;5;11;27;38;53;60;111102;a111102
306;20/10/2001;19;30;41;47;56;57;011022;a011022
307;24/10/2001;13;16;17;26;41;44;031020;a031020
308;27/10/2001;4;11;25;29;39;55;112101;a112101
309;31/10/2001;4;11;25;39;50;55;111111;a111111
310;03/11/2001;2;14;28;29;31;32;112200;a112200
311;07/11/2001;22;24;30;32;38;41;003210;a003210
312;10/11/2001;14;23;30;41;47;50;012030;a012030
313;14/11/2001;14;16;24;37;38;53;021201;a021201
314;17/11/2001;5;32;34;37;40;58;100401;a100401
315;21/11/2001;12;21;22;28;43;50;013020;a013020
316;24/11/2001;6;24;28;43;51;56;102012;a102012
317;28/11/2001;16;20;27;30;35;48;022110;a022110
318;01/12/2001;3;19;20;31;40;53;120201;a120201
319;05/12/2001;12;16;17;19;23;48;041010;a041010
320;08/12/2001;20;22;27;47;50;53;012021;a012021
321;12/12/2001;4;11;31;32;48;49;110220;a110220
322;15/12/2001;11;18;29;44;47;56;021021;a021021
323;19/12/2001;26;31;33;40;49;54;001311;a001311
324;22/12/2001;8;15;22;25;30;47;113010;a113010
325;29/12/2001;1;3;4;21;23;53;302001;a302001
326;05/01/2002;21;23;40;44;51;52;002112;a002112
327;09/01/2002;29;32;33;38;46;48;001320;a001320
328;12/01/2002;5;7;14;21;23;51;212001;a212001
329;16/01/2002;10;11;12;24;35;40;121200;a121200
330;19/01/2002;2;4;14;23;37;51;211101;a211101
331;23/01/2002;1;13;20;27;35;37;121200;a121200
332;26/01/2002;23;28;29;34;42;44;003120;a003120
333;30/01/2002;4;27;35;44;52;53;101112;a101112
334;02/02/2002;14;23;24;26;41;51;013011;a013011
335;06/02/2002;7;23;33;43;57;59;101112;a101112
336;09/02/2002;2;18;22;26;30;54;113001;a113001
337;16/02/2002;4;14;16;31;52;54;120102;a120102
338;20/02/2002;1;4;9;36;46;48;300120;a300120
339;23/02/2002;5;12;13;16;27;50;131010;a131010
340;27/02/2002;9;10;12;33;42;60;210111;a210111
341;02/03/2002;5;16;22;23;43;56;112011;a112011
342;06/03/2002;16;29;34;49;51;54;011112;a011112
343;09/03/2002;4;6;7;12;24;41;311010;a311010
344;13/03/2002;10;12;14;33;35;36;120300;a120300
345;16/03/2002;11;22;46;51;56;58;011013;a011013
346;20/03/2002;7;12;41;46;56;60;110022;a110022
347;23/03/2002;1;10;12;26;48;52;211011;a211011
348;27/03/2002;19;30;33;39;40;52;011301;a011301
349;30/03/2002;8;9;28;32;38;54;201201;a201201
350;03/04/2002;10;15;23;30;43;57;112011;a112011
351;06/04/2002;15;16;24;41;59;60;021012;a021012
352;10/04/2002;7;20;25;44;47;49;111030;a111030
353;13/04/2002;19;23;30;46;55;60;012012;a012012
354;17/04/2002;7;16;38;40;41;52;110211;a110211
355;20/04/2002;2;14;22;23;37;60;112101;a112101
356;24/04/2002;5;19;21;54;56;58;111003;a111003
357;27/04/2002;2;30;32;35;45;53;101211;a101211
358;04/05/2002;12;17;21;32;40;42;021210;a021210
359;08/05/2002;13;19;20;29;31;54;031101;a031101
360;11/05/2002;23;24;29;47;53;55;003012;a003012
361;15/05/2002;16;28;31;41;45;59;011121;a011121
362;18/05/2002;7;20;33;37;46;56;110211;a110211
363;22/05/2002;19;29;39;47;49;54;011121;a011121
364;25/05/2002;5;29;44;51;57;59;101013;a101013
365;29/05/2002;19;23;34;37;52;58;011202;a011202
366;01/06/2002;4;6;7;15;21;51;311001;a311001
367;05/06/2002;10;12;27;33;49;52;111111;a111111
368;08/06/2002;13;29;32;38;44;50;011220;a011220
369;12/06/2002;1;14;21;35;42;60;111111;a111111
370;15/06/2002;1;4;40;42;51;54;200112;a200112
371;19/06/2002;4;18;23;33;39;60;111201;a111201
372;22/06/2002;16;17;24;39;46;57;021111;a021111
373;26/06/2002;1;5;10;24;31;33;301200;a301200
374;29/06/2002;2;5;16;26;44;54;211011;a211011
375;03/07/2002;1;5;9;42;51;58;300012;a300012
376;06/07/2002;10;13;25;35;43;48;111120;a111120
377;10/07/2002;3;12;19;27;45;46;121020;a121020
378;13/07/2002;5;38;41;45;48;55;100131;a100131
379;17/07/2002;24;33;40;41;55;59;001212;a001212
380;20/07/2002;13;22;30;31;47;57;012111;a012111
381;24/07/2002;9;10;28;46;55;56;201012;a201012
382;27/07/2002;31;34;37;38;53;54;000402;a000402
383;31/07/2002;14;22;48;50;53;56;011022;a011022
384;03/08/2002;24;28;40;47;50;52;002121;a002121
385;07/08/2002;5;12;16;18;22;24;132000;a132000
386;10/08/2002;17;35;36;39;43;54;010311;a010311
387;14/08/2002;22;28;29;43;47;48;003030;a003030
388;17/08/2002;23;36;48;52;53;58;001113;a001113
389;21/08/2002;5;14;18;43;46;54;120021;a120021
390;24/08/2002;7;12;22;34;38;53;111201;a111201
391;28/08/2002;4;7;15;16;35;40;220200;a220200
392;31/08/2002;15;23;31;39;47;49;011220;a011220
393;04/09/2002;6;12;35;36;40;50;110310;a110310
394;07/09/2002;5;15;35;42;45;49;110130;a110130
395;11/09/2002;10;11;14;20;31;58;130101;a130101
396;14/09/2002;6;18;34;42;45;47;110130;a110130
397;18/09/2002;1;2;5;24;32;46;301110;a301110
398;21/09/2002;7;16;22;28;36;37;112200;a112200
399;25/09/2002;11;16;27;47;55;59;021012;a021012
400;28/09/2002;10;13;28;29;54;59;112002;a112002
401;02/10/2002;11;18;43;44;50;53;020031;a020031
402;05/10/2002;5;16;27;43;56;58;111012;a111012
403;09/10/2002;7;16;27;31;46;60;111111;a111111
404;12/10/2002;1;24;28;38;40;58;102201;a102201
405;16/10/2002;24;29;34;47;57;60;002112;a002112
406;19/10/2002;2;12;32;38;47;48;110220;a110220
407;23/10/2002;2;18;22;49;51;57;111012;a111012
408;26/10/2002;14;28;33;44;49;56;011121;a011121
409;30/10/2002;18;25;26;31;34;49;012210;a012210
410;02/11/2002;8;24;31;36;38;55;101301;a101301
411;06/11/2002;10;12;31;38;45;56;110211;a110211
412;09/11/2002;5;12;14;21;45;59;121011;a121011
413;13/11/2002;2;4;29;33;35;53;201201;a201201
414;16/11/2002;16;26;35;45;52;58;011112;a011112
415;20/11/2002;1;4;27;38;42;44;201120;a201120
416;23/11/2002;1;13;23;33;54;56;111102;a111102
417;27/11/2002;7;12;21;25;34;42;112110;a112110
418;30/11/2002;8;15;32;45;49;52;110121;a110121
419;04/12/2002;9;16;41;42;52;53;110022;a110022
420;07/12/2002;12;29;30;43;57;59;012012;a012012
421;11/12/2002;5;35;37;38;45;51;100311;a100311
422;14/12/2002;12;37;43;55;56;60;010113;a010113
423;18/12/2002;8;22;32;33;40;53;101301;a101301
424;21/12/2002;18;27;29;36;46;59;012111;a012111
425;28/12/2002;6;10;16;34;42;47;210120;a210120
426;04/01/2003;7;30;32;37;50;54;101211;a101211
427;08/01/2003;3;13;14;24;43;51;121011;a121011
428;11/01/2003;8;28;30;32;46;60;102111;a102111
429;15/01/2003;17;26;32;36;43;55;011211;a011211
430;18/01/2003;8;10;21;25;38;50;202110;a202110
431;22/01/2003;26;37;40;47;52;58;001212;a001212
432;25/01/2003;4;13;17;27;39;50;121110;a121110
433;29/01/2003;16;17;28;30;36;54;022101;a022101
434;01/02/2003;4;10;17;24;30;54;212001;a212001
435;05/02/2003;10;11;17;31;37;43;120210;a120210
436;08/02/2003;1;6;7;29;48;57;301011;a301011
437;12/02/2003;7;10;30;44;54;59;201012;a201012
438;15/02/2003;3;5;11;14;38;48;220110;a220110
439;19/02/2003;13;20;29;42;43;57;021021;a021021
440;22/02/2003;3;5;23;30;46;47;202020;a202020
441;26/02/2003;2;10;15;21;58;59;211002;a211002
442;01/03/2003;6;15;23;31;37;59;111201;a111201
443;08/03/2003;11;17;26;36;48;52;021111;a021111
444;12/03/2003;3;24;33;48;52;57;101112;a101112
445;15/03/2003;7;20;31;32;50;53;110211;a110211
446;19/03/2003;8;11;12;17;20;47;140010;a140010
447;22/03/2003;15;24;25;33;42;55;012111;a012111
448;26/03/2003;3;5;9;45;51;52;300012;a300012
449;29/03/2003;1;8;24;34;49;56;201111;a201111
450;02/04/2003;1;9;13;50;51;59;210012;a210012
451;05/04/2003;17;18;23;28;31;53;022101;a022101
452;09/04/2003;11;16;30;36;51;54;021102;a021102
453;12/04/2003;8;20;23;34;52;58;111102;a111102
454;16/04/2003;4;17;24;42;46;56;111021;a111021
455;19/04/2003;2;14;15;17;50;59;130011;a130011
456;23/04/2003;3;17;22;27;33;40;112200;a112200
457;26/04/2003;15;17;24;27;32;48;022110;a022110
458;30/04/2003;13;24;32;34;43;53;011211;a011211
459;03/05/2003;8;15;17;39;43;49;120120;a120120
460;07/05/2003;19;23;30;37;49;55;012111;a012111
461;10/05/2003;15;17;20;29;30;60;032001;a032001
462;14/05/2003;17;19;22;26;27;48;023010;a023010
463;17/05/2003;2;3;7;18;45;53;310011;a310011
464;21/05/2003;6;24;33;38;45;50;101220;a101220
465;24/05/2003;1;22;31;46;51;57;101112;a101112
466;28/05/2003;11;16;28;29;30;45;023010;a023010
467;31/05/2003;8;18;21;22;38;60;112101;a112101
468;04/06/2003;5;6;23;25;39;51;202101;a202101
469;07/06/2003;13;21;26;29;42;47;013020;a013020
470;11/06/2003;8;11;23;37;51;58;111102;a111102
471;14/06/2003;5;31;32;36;51;59;100302;a100302
472;18/06/2003;3;4;12;29;38;51;211101;a211101
473;21/06/2003;7;23;41;49;51;58;101022;a101022
474;25/06/2003;3;12;32;34;40;50;110310;a110310
475;28/06/2003;6;8;19;22;43;52;211011;a211011
476;02/07/2003;17;20;38;43;55;58;020112;a020112
477;05/07/2003;6;8;18;34;38;47;210210;a210210
478;09/07/2003;3;8;21;25;30;31;203100;a203100
479;12/07/2003;20;26;41;46;54;58;011022;a011022
480;16/07/2003;14;33;36;38;41;49;010320;a010320
481;19/07/2003;6;13;22;24;42;44;112020;a112020
482;23/07/2003;12;13;33;53;54;56;020103;a020103
483;26/07/2003;16;18;23;35;44;59;021111;a021111
484;30/07/2003;17;18;19;38;49;53;030111;a030111
485;02/08/2003;19;28;30;38;52;57;012102;a012102
486;06/08/2003;8;14;19;30;42;50;121020;a121020
487;09/08/2003;8;22;25;48;52;54;102012;a102012
488;13/08/2003;15;30;35;39;43;57;011211;a011211
489;16/08/2003;17;28;33;36;53;59;011202;a011202
490;20/08/2003;5;11;23;29;54;58;112002;a112002
491;23/08/2003;1;9;15;22;43;55;211011;a211011
492;27/08/2003;2;6;15;18;56;57;220002;a220002
493;30/08/2003;3;18;20;24;42;54;121011;a121011
494;03/09/2003;18;20;28;32;49;53;021111;a021111
495;06/09/2003;8;15;29;36;49;60;111111;a111111
